Time Point,Cold.temp,Ambient.temp,
01/03/2017 19:00,6.23,9.977,
01/03/2017 19:30,6.102,9.952,
01/03/2017 20:00,6,9.928,
01/03/2017 20:30,5.898,9.903,
01/03/2017 21:00,5.949,9.879,
01/03/2017 21:30,6.026,9.854,
01/03/2017 22:00,6.153,9.829,
01/03/2017 22:30,6.23,9.805,
01/03/2017 23:00,6.128,9.805,
01/03/2017 23:30,5.975,9.805,
01/04/2017 00:00,5.872,9.78,
01/04/2017 00:30,6.026,9.756,
01/04/2017 01:00,6.128,9.731,
01/04/2017 01:30,6.204,9.706,
01/04/2017 02:00,6.102,9.632,
01/04/2017 02:30,6.026,9.608,
01/04/2017 03:00,5.924,9.608,
01/04/2017 03:30,5.898,9.608,
01/04/2017 04:00,6.026,9.583,
01/04/2017 04:30,6.153,9.583,
01/04/2017 05:00,6.23,9.558,
01/04/2017 05:30,6.128,9.558,
01/04/2017 06:00,6,9.558,
01/04/2017 06:30,5.872,9.558,
01/04/2017 07:00,5.975,9.608,
01/04/2017 07:30,6.128,9.632,
01/04/2017 08:00,6.23,9.657,
01/04/2017 08:30,6.128,9.706,
01/04/2017 09:00,6.026,9.756,
01/04/2017 09:30,5.924,9.805,
01/04/2017 10:00,5.924,9.829,
01/04/2017 10:30,6.077,9.854,
01/04/2017 11:00,6.179,9.903,
01/04/2017 11:30,6.23,9.928,
01/04/2017 12:00,6.077,9.952,
01/04/2017 12:30,5.949,10.026,
01/04/2017 13:00,5.872,10.075,
01/04/2017 13:30,5.949,10.124,
01/04/2017 14:00,6.051,10.173,
01/04/2017 14:30,6.128,10.198,
01/04/2017 15:00,6.204,10.222,
01/04/2017 15:30,6.153,10.247,
01/04/2017 16:00,6.026,10.247,
01/04/2017 16:30,5.924,10.247,
01/04/2017 17:00,5.898,10.222,
01/04/2017 17:30,6.026,10.173,
01/04/2017 18:00,6.153,10.149,
01/04/2017 18:30,6.179,10.149,
01/04/2017 19:00,6.051,10.124,
01/04/2017 19:30,5.924,10.075,
01/04/2017 20:00,5.872,10.075,
01/04/2017 20:30,6.051,10.075,
01/04/2017 21:00,6.179,10.026,
01/04/2017 21:30,6.204,10.026,
